R0	Acetylcysteine in paracetamol poisoning letter comment
R1	Pyomyositis and human immunodeficiency virus infection
R2	Rapid screening tests for HIV infection editorial
R3	Increased prevalence of bulimia nervosa among Asian schoolgirls
R4	Effects of phosphodiesterase inhibition on skeletal muscle vasculature
R5	Relationship between body and brain temperature in traumatically braininjured rodents
R6	Psychologic aspects of exercise
R7	Parallel in vivo and in vitro detection of functional somatostatin receptors in human endocrine pancreatic tumors consequences with regard to diagnosis localization and therapy see comments
R8	DNA fingerprints profiles bank on the way news
R9	Potency following radical prostatectomy with wide unilateral excision of the neurovascular bundle
R10	Diagnosis and treatment of aphasia Part II
R11	Giant inflammatory polyposis in ulcerative colitis presenting with protein losing enteropathy letter
R12	Indias medical dilemma overpopulation and underfunding
R13	Synergistic effect of recombinant interferongamma and interleukin3 on the growth of immature human hematopoietic progenitors
R14	Patellofemoral pain in children
R15	Selfadhesive wrap letter
R16	The tuberculosis clinic
R17	Bilateral ossifying fibroma of the maxillary sinus
R18	Theophylline plasma concentrations and silicone central venous catheter a potential source of error letter
R19	Invasive ovarian endometrioid adenofibroma with omental implants and collision with endometrial adenocarcinoma
R20	Small lymphocytic lymphoma
R21	Erosive arthritis of the temporomandibular joint caused by TeflonProplast implants plain film features
R22	Proline at position 36 a new transthyretin mutation associated with familial amyloidotic polyneuropathy
R23	Iatrogenic paraesophageal hernia after endoscopy letter
R24	Exercise in paleootolaryngology head and neck examination of two Egyptian mummies
R25	Evaluating the recirculation in hemodialysis without peripheral venipuncture letter
R26	IgG subclass distribution of antinative type II collagen and antidenatured type II collagen antibodies in patients with rheumatoid arthritis
R27	Role of dialysable solutes in the mediation of uremic encephalopathy in the rat
R28	Candidaassociated diarrhea in hospitalized patients
R29	Trauma in the Afghan guerrilla war effects of lack of access to care
R30	Abdominal trauma at the Southern Surgical Association 18881987
R31	Ultrasound diagnosis of an obstructive cardiac rhabdomyoma with severe hydrops and hypoplastic lungs A case report
R32	Caring for residents as well as patients editorial
R33	Measurement of intrahepatic pressure as an index of hepatic sinusoidal pressure
R34	Bilateral pneumothorax as a presenting feature of metastatic angiosarcoma of the scalp see comments
R35	Marked in vivo antiretrovirus activity of 92phosphonylmethoxyethyladenine a selective antihuman immunodeficiency virus agent
R36	Traumatic disruption of the gallbladder evaluated by computerized tomography and magnetic resonance imaging
R37	Phosphorylation of two small GTPbinding proteins of the Rab family by p34cdc2
R38	Human immunodeficiency virus infection in sexually active wives of infected hemophilic men
R39	Glucose transport into rat skeletal muscle interaction between exercise and insulin
R40	Lead poisoning following ingestion of homemade beverage stored in a ceramic jugNew York
R41	Local reactions to radioiodine in the treatment of thyroid cancer
R42	Detection and management of early glaucoma Based on a symposium Brussels Belgium September 1987
R43	Cervical incompetence preliminary evaluation with MR imaging
R44	Pharyngostomy with double tube and anastomosis in the posterior wall of the stomach as a method of avoiding leakage after esophagectomy
R45	Laparoscopic trancystic choledocholithotomy as an adjunct to laparoscopic cholecystectomy
R46	Occurrence of gastroesophageal reflux on induction of anaesthesia does not correlate with the volume of gastric contents
R47	Recurrence of Cushings disease due to corticotrophe hyperplasia following transphenoidal hypophysectomy letter
R48	AIDS activities from day 1 to something big news
R49	Characterization of H efflux pathways in rat hepatocytes
R50	Perinuclear lens retrodots a role for ascorbate in cataractogenesis
R51	CT of the wrist what is abnormal letter comment
R52	Alpha 1antitrypsin deficiency lessons learned from the bedside to the gene and back again Historic perspectives
R53	Improved technique for hydrocelectomy in children
R54	Protein turnover in uraemia in the rat
R55	Escape from the sodiumretaining effects of mineralocorticoids role of ANF and intrarenal hormone systems
R56	Responses to carotid sinus stimulation before and after propranolol
R57	Pulmonary histiocytosis X evaluation with highresolution CT
R58	Neonatal hyperbilirubinemia caused by pyruvate kinase deficiency
R59	Plasma lipid and coagulation factor concentrations in insulin dependent diabetics with microalbuminuria
R60	Serum melatonin levels a new neurodiagnostic tool in pineal region tumors
R61	A retrospective study of bone changes in adults treated with etretinate
R62	Sex of physician patients preferences and stereotypes
R63	Magnetic stereotaxis a technique to deliver stereotactic hyperthermia
R64	Status of the myocardium and infarctrelated coronary artery in 19 necropsy patients with acute recanalization using pharmacologic streptokinase rtissue plasminogen activator mechanical percutaneous transluminal coronary angioplasty or combined types of reperfusion therapy
R65	Coronary heart disease prevention letter
R66	High glutamate concentrations evoke Caindependent dopamine release from striatal slices a possible role of reverse dopamine transport
R67	Precocious familial gout letter comment
R68	Lateral pharyngeal abscess due to Yersinia enterocolitica
R69	Actinomycosis at multiple colonic sites
R70	Infant stimulation Issues of theory and research
R71	BAL in asbestosis letter
R72	Corticosteroid withdrawal with substitution of azathioprine in cyclosporinetreated primary cadaveric renal transplant recipients
R73	An academic medical centers experience with mandatory managed care for Medicaid recipients
R74	Evaluation of concomitant drug use during antidepressant therapy letter
R75	Autonomous thyroid nodule and percutaneous ethanol injection letter see comments
R76	Bronchoalveolar lavage cell populations in bleomycin lung toxicity
R77	Cystometrical evaluation of bladder instability in rats with infravesical outflow obstruction
R78	Atrioventricular septal defect repair in infants
R79	Skin deep A recombinant growth factor hastens wound healing
R80	Did God make RNA letter
R81	Efficacy of a cellmediated reaction to the purified protein derivative of tuberculin in the disposal of Mycobacterium leprae from human skin
R82	Differences in the household composition of elders by age gender and area of residence
R83	Retinoic acid inhibits calmodulin binding to human erythrocyte membranes and reduces membrane Ca2adenosine triphosphatase activity
R84	Internalization of bacille CalmetteGuerin by bladder tumor cells
R85	Why predictive indexes perform less well in validation studies Is it magic or methods
R86	The specificity and cellular origin of phenylethanolamine Nmethyltransferase PNMTlike immunoreactivity in psoriatic skin
R87	Antibody and Tcell receptors
R88	At the crossroads of chemistry and immunology catalytic antibodies
R89	A randomized controlled trial of oral 5FU versus placebo in colorectal cancer results of 10 years observation time letter
R90	Prevalence of excessive or problem drinkers among patients attending somatic outpatient clinics a study of alcohol related medical care
R91	Values and science curricula letter
R92	Neonatal necrotizing enterocolitis bridging the basic science with the clinical disease
R93	Two unrelated patients with familial hyperproinsulinemia due to a mutation substituting histidine for arginine at position 65 in the proinsulin molecule identification of the mutation by direct sequencing of genomic deoxyribonucleic acid amplified by polymerase chain reaction
R94	Structureactivity study of the mechanism of 1methyl4phenyl1236tetrahydropyridine MPTPinduced neurotoxicity II Evaluation of the biological activity of the pyridinium metabolites formed from the monoamine oxidasecatalyzed oxidation of MPTP analogs
R95	Characterization and histopathological correlation of cytosol proteins of benign and malignant breast tumors
R96	Biventricular free wall rupture with extracardiac lefttoright shunt after myocardial infarction
R97	Pediatric patients race and DRG prospective hospital payment
R98	VO2max limits letter comment
R99	Natural history of treated T1N0 squamous cell carcinoma of the glottis letter
R100	Adrenal cortex hormones in male epileptic patients before and during a 2year phenytoin treatment
R101	Neutrophil elastase activity and superoxide production are diminished in neutrophils of alcoholics
R102	Colorado IDDM Registry lower incidence of IDDM in Hispanics Comparison of disease characteristics and care patterns in biethnic population
R103	Repeated epidural anesthesia for extracorporeal shockwave lithotripsy is unreliable
R104	Irreversible interstitial pneumonitis associated with tocainide therapy
R105	An aid in cases of difficult tracheal intubation letter comment
R106	The meaning of hydrophobicity
R107	Diaphragm motor unit recruitment during ventilatory and nonventilatory behaviors
R108	Zinc in multiple sclerosis II Correlation with disease activity and elevated plasma membranebound zinc in erythrocytes from patients with multiple sclerosis
R109	The mechanism of plasminogen activation and fibrin dissolution by single chain urokinasetype plasminogen activator in a plasma milieu in vitro
R110	Comparison of two growth charts in Lesotho health workers ability to understand and use them for action
R111	Compression in the treatment of leg telangiectasia a preliminary report
R112	Can villous atrophy be induced by chronic alcohol consumption see comments
R113	Social support and psychosocial dysfunction after stroke buffering effects in a community sample
R114	HIV infection in pregnant women in Rhode Island 1985 to 1988 letter
R115	Screening for colorectal cancer see comments
R116	Differences in the shape of the normal cardiomyopathic and volume overloaded human left ventricle
R117	DoubleZ rhombic technique for reconstruction of facial wounds see comments
R118	Expanded Clinical Evaluation of Lovastatin EXCEL study results I Efficacy in modifying plasma lipoproteins and adverse event profile in 8245 patients with moderate hypercholesterolemia see comments
R119	Homonymous quadrantic visual field defect resulting from vertebrobasilar insufficiency report of a case
R120	Cardiovascular diseases and stroke in AfricanAmericans and other racial minorities in the United States A statement for health professionals Introduction
R121	re Fluid absorption during urological endoscopy letter
R122	Achieving a balance letter
R123	Localregional breast cancer recurrence following mastectomy
R124	Functional abilities after stroke measurement natural history and prognosis
R125	Deviations in thymocyte development induced by divalent and monovalent ligation of the alphabeta T cell receptor and by its crosslinking to CD8
R126	Female frosh fare fine letter
R127	Anatomy physiology and neuropharmacology of cancer pain
R128	Cardiac arrests at home letter comment
R129	Subclavian arterytoinnominate vein fistula a case caused by subclavian venous catheterization
R130	Sensitivity and speed of colour Doppler flow mapping compared with continuous wave Doppler for the detection of ventricular septal defects
R131	From the Health Resources and Services Administration
R132	Routine medical management of acute myocardial infarction Lessons from overviews of recent randomized controlled trials
R133	Evoked potentials during multiple sclerosis therapeutic trials letter
R134	The vascular cold patch is not a prognostic index for headache
R135	Race sex and family history of hypertension and erythrocyte sodium pump 3Houabain binding
R136	Simultaneous demonstrations of neuropeptide Y gene expression and peptide storage in single neurons of the human brain
R137	Correlation between smoking fibrinogen and vascular disease letter comment
R138	Osteosarcoma of the larynx
R139	Mononeuritis multiplex in Waldenstroms macroglobulinemia
R140	Air ventriculogram serendipitously discovered after epidural anesthesia
R141	Persistent vesicular eruption in an infant Chronic bullous disease of childhood
R142	Multiparametric analysis SAMBA 200 of the progesterone receptor immunocytochemical assay in nonmalignant and malignant breast disorders
R143	Inheritance of chromosome heteromorphisms analyzed by highresolution bivariate flow karyotyping
R144	HIV serosurveillance among prostitutes and patients from a sexually transmitted diseases clinic in Delhi India
R145	Contribution of CSF and vascular factors to elevation of ICP in severely headinjured patients
R146	Halsteds meticulous technique letter comment
R147	Hyperglycemia decreases acute neuronal ischemic changes after middle cerebral artery occlusion in cats see comments
R148	Guanine nucleotidebinding protein regulation of melatonin receptors in lizard brain
R149	Role of endothelin in cyclosporineinduced glomerular dysfunction
R150	Gamete intrafallopian transfer vs superovulation with intrauterine insemination for the treatment of infertility
