S0	Inflammatory pseudotumour of spleen
S1	Pathological laughter
S2	Localization of transected wire letter
S3	Recommended core educational guidelines on alcoholism and substance abuse for family practice residents American Academy of Family Physicians
S4	Effect of weightbearing on healing of cortical defects in the canine tibia
S5	Number and activity of inflammatory cells in bronchoalveolar lavage fluid in asthma and their relation to airway responsiveness
S6	Radiation therapy of hemangioendotheliomas letter
S7	Safety of intravenous ciprofloxacin A review
S8	Rebound of aldosterone but not of corticosterone after suppression of adrenal function by triamcinolone acetonide in rats
S9	Congenital divided naevus of the eyelids
S10	An experimental investigation of the construct validity of the McGill Pain Questionnaire
S11	Results of an intervention to improve compliance with referrals for evaluation of suspected malignancies at neighborhood public health centers
S12	Access to cancer prevention detection and treatment
S13	Absence of antibodies to human immunodeficiency virus in homosexual hemophiliac and heterosexual men in Budapest Hungary in 19831984
S14	Tracheal stenosis and failure to wean from mechanical ventilation due to herpetic tracheitis
S15	Evaluation of the potential role of serodiagnosis of tuberculosis in a clinic in Bolivia by decision analysis
S16	Neonatal interleukin1 beta interleukin6 and tumor necrosis factor cord blood levels and cellular production
S17	Primary total knee arthroplasty in patients with psoriasis
S18	The effect of an interdisciplinary geriatrics clinic visit on mental status letter
S19	Central sympathoinhibitory action of ketanserin in rats
S20	Clinical pancreas transplantation a learning curve of its management
S21	MDs hospitals unite to share indigent load
S22	Induction of immune tolerance in hemophiliacs with inhibitors letter
S23	Validation and evaluation of test for sympathetic cholinergic function in diabetes mellitus
S24	Inactivation of prostaglandins in human decidua vera parietalis tissue substrate specificity of prostaglandin dehydrogenase
S25	This month in Investigative Urology prostatespecific antigen
S26	Effect of nimodipine on cerebrovascular response to CO2 in asymptomatic individuals and patients with subarachnoid hemorrhage a transcranial Doppler ultrasound study
S27	Hormonal and metabolic responses during coronary artery bypass surgery role of infused glucose
S28	Vasoactive intestinal peptide and intraocular pressure adenylate cyclase activation and binding sites for vasoactive intestinal peptide in membranes of ocular ciliary processes
S29	Clinical characteristics pathophysiology and management of hydrocarbon ingestion case report and review of the literature
S30	Depressive symptoms and substance use among adolescent binge eaters and purgers a defined population study
S31	Thawing of freshfrozen plasma with a new microwave oven
S32	Relationship of treatment for hypertension and stroke mortality letter comment
S33	Alexithymic characteristics and metabolic control in diabetic and healthy adults
S34	Effect of thromboxane and serotonin receptor antagonists on intracoronary platelet deposition in dogs with experimentally stenosed coronary arteries
S35	Study of the CD3associated Tcell receptors reveals further differences between Tcell acute lymphoblastic lymphoma and leukemia
S36	Hydrostatic weighing without head submersion in morbidly obese females
S37	Cytoreductive surgery in disseminated nonseminomatous germ cell tumours of testis
S38	Subcutaneous sumatriptan in the treatment of headache during withdrawal from druginduced headache
S39	Trend toward nonoperative management of splenic injuries
